date,city,aqi
2022-06-12,Agartala,61
2022-06-13,Agartala,46
2022-06-14,Agartala,43
2022-06-15,Agartala,42
2022-06-16,Agartala,35
2022-06-17,Agartala,29
2022-06-18,Agartala,22
2022-06-19,Agartala,29
2022-06-20,Agartala,22
2022-06-21,Agartala,24
2022-06-22,Agartala,31
2022-06-23,Agartala,28
2022-06-24,Agartala,26
2022-06-25,Agartala,32
2022-06-26,Agartala,33
2022-06-27,Agartala,31
2022-06-28,Agartala,33
2022-06-29,Agartala,33
2022-06-30,Agartala,24
2022-07-01,Agartala,38
2022-07-02,Agartala,28
2022-07-03,Agartala,26
2022-07-04,Agartala,30
2022-07-05,Agartala,33
2022-07-06,Agartala,32
2022-07-07,Agartala,34
2022-07-08,Agartala,35
2022-07-09,Agartala,36
2022-07-10,Agartala,32
2022-07-11,Agartala,31
2022-07-12,Agartala,32
2022-07-13,Agartala,32
2022-07-14,Agartala,32
2022-07-15,Agartala,31
2022-07-16,Agartala,23
2022-07-17,Agartala,32
2022-07-18,Agartala,36
2022-07-19,Agartala,29
2022-07-20,Agartala,30
2022-07-21,Agartala,39
2022-07-22,Agartala,42
2022-07-23,Agartala,33
2022-07-24,Agartala,32
2022-07-25,Agartala,25
2022-07-26,Agartala,34
2022-07-27,Agartala,46
2022-07-28,Agartala,64
2022-07-29,Agartala,48
2022-07-30,Agartala,53
2022-07-31,Agartala,35
2022-08-01,Agartala,38
2022-08-02,Agartala,42
2022-08-03,Agartala,47
2022-08-04,Agartala,37
2022-08-05,Agartala,36
2022-08-06,Agartala,32
2022-08-07,Agartala,30
2022-08-08,Agartala,31
2022-08-09,Agartala,42
2022-08-10,Agartala,49
2022-08-11,Agartala,34
2022-08-12,Agartala,30
2022-08-13,Agartala,34
2022-08-14,Agartala,24
2022-08-15,Agartala,36
2022-08-16,Agartala,39
2022-08-17,Agartala,50
2022-08-18,Agartala,95
2022-08-19,Agartala,34
2022-08-20,Agartala,36
2022-08-21,Agartala,43
2022-08-23,Agartala,32
2022-08-24,Agartala,32
2022-08-25,Agartala,33
2022-08-26,Agartala,72
2022-08-27,Agartala,63
2022-08-28,Agartala,44
2022-08-29,Agartala,52
2022-08-30,Agartala,60
2022-08-31,Agartala,58
2022-09-01,Agartala,44
2022-09-02,Agartala,39
2022-09-03,Agartala,28
2022-09-04,Agartala,27
2022-09-05,Agartala,32
2022-09-06,Agartala,34
2022-09-07,Agartala,46
2022-09-08,Agartala,34
2022-09-09,Agartala,49
2022-09-10,Agartala,28
2022-09-11,Agartala,22
2022-09-12,Agartala,25
2022-09-13,Agartala,24
2022-09-14,Agartala,23
2022-09-15,Agartala,32
2022-09-16,Agartala,41
2022-09-17,Agartala,47
2022-09-18,Agartala,63
2022-09-19,Agartala,45
2022-09-20,Agartala,31
2022-09-21,Agartala,38
2022-09-22,Agartala,48
2022-09-23,Agartala,54
2022-09-24,Agartala,45
2022-09-25,Agartala,51
2022-09-26,Agartala,60
2022-09-27,Agartala,47
2022-09-28,Agartala,66
2022-09-29,Agartala,81
2022-09-30,Agartala,82
2022-10-01,Agartala,73
2022-10-02,Agartala,52
2022-10-03,Agartala,22
2022-10-04,Agartala,36
2022-10-05,Agartala,30
2022-10-06,Agartala,41
2022-10-07,Agartala,54
2022-10-08,Agartala,54
2022-10-09,Agartala,45
2022-10-10,Agartala,126
2022-10-11,Agartala,29
2022-10-12,Agartala,25
2022-10-13,Agartala,31
2022-10-14,Agartala,42
2022-10-15,Agartala,83
2022-10-16,Agartala,74
2022-10-17,Agartala,85
2022-10-18,Agartala,71
2022-10-19,Agartala,66
2022-10-20,Agartala,109
2022-10-21,Agartala,79
2022-10-22,Agartala,92
2022-10-23,Agartala,83
2022-10-24,Agartala,66
2022-10-25,Agartala,15
2022-10-26,Agartala,93
2022-10-27,Agartala,61
2022-10-28,Agartala,144
2022-10-29,Agartala,136
2022-10-30,Agartala,121
2022-10-31,Agartala,119
2022-11-01,Agartala,88
2022-11-02,Agartala,113
2022-11-03,Agartala,144
2022-11-04,Agartala,213
2022-11-05,Agartala,182
2022-11-06,Agartala,92
2022-11-07,Agartala,138
2022-11-08,Agartala,152
2022-11-09,Agartala,90
2022-11-10,Agartala,73
2022-11-11,Agartala,106
2022-11-12,Agartala,132
2022-11-13,Agartala,175
2022-11-14,Agartala,131
2022-11-15,Agartala,162
2022-11-16,Agartala,84
2022-11-17,Agartala,98
2022-11-18,Agartala,90
2022-11-19,Agartala,106
2022-11-20,Agartala,94
2022-11-21,Agartala,153
2022-11-22,Agartala,158
2022-11-23,Agartala,204
2022-11-24,Agartala,179
2022-11-25,Agartala,134
2022-11-26,Agartala,115
2022-11-27,Agartala,106
2022-11-28,Agartala,96
2022-11-29,Agartala,161
2022-11-30,Agartala,200
2022-12-01,Agartala,233
2022-12-02,Agartala,219
2022-12-03,Agartala,239
2022-12-04,Agartala,222
2022-12-05,Agartala,227
2022-12-06,Agartala,208
2022-12-07,Agartala,236
2022-12-08,Agartala,203
2022-12-09,Agartala,175
2022-12-10,Agartala,226
2022-12-11,Agartala,229
2022-12-12,Agartala,254
2022-12-13,Agartala,250
2022-12-14,Agartala,284
2022-12-15,Agartala,328
2022-12-16,Agartala,358
2022-12-17,Agartala,225
2022-12-18,Agartala,158
2022-12-19,Agartala,132
2022-12-20,Agartala,202
2022-12-21,Agartala,227
2022-12-22,Agartala,230
2022-12-23,Agartala,254
2022-12-24,Agartala,248
2022-12-25,Agartala,214
2022-12-26,Agartala,227
2022-12-27,Agartala,235
2022-12-28,Agartala,117
2022-12-29,Agartala,261
2022-12-30,Agartala,248
2022-12-31,Agartala,274
2023-01-01,Agartala,234
2023-01-02,Agartala,232
2023-01-03,Agartala,240
2023-01-04,Agartala,248
2023-01-05,Agartala,181
2023-01-06,Agartala,186
2023-01-07,Agartala,181
2023-01-08,Agartala,163
2023-01-09,Agartala,158
2023-01-10,Agartala,176
2023-01-11,Agartala,161
2023-01-12,Agartala,238
2023-01-13,Agartala,244
2023-01-14,Agartala,222
2023-01-15,Agartala,268
2023-01-16,Agartala,119
2023-01-17,Agartala,170
2023-01-18,Agartala,206
2023-01-19,Agartala,196
2023-01-20,Agartala,244
2023-01-21,Agartala,223
2023-01-22,Agartala,308
2023-01-23,Agartala,219
2023-01-24,Agartala,264
2023-01-25,Agartala,241
2023-01-26,Agartala,362
2023-01-27,Agartala,261
2023-01-28,Agartala,231
2023-01-29,Agartala,286
2023-01-30,Agartala,332
2023-01-31,Agartala,236
2023-02-01,Agartala,351
2023-02-02,Agartala,204
2023-02-04,Agartala,354
2023-02-05,Agartala,262
2023-02-06,Agartala,281
2023-02-07,Agartala,217
2023-02-08,Agartala,124
2023-02-09,Agartala,136
2023-02-10,Agartala,188
2023-02-11,Agartala,174
2023-02-12,Agartala,224
2023-02-13,Agartala,180
2023-02-14,Agartala,148
2023-02-15,Agartala,228
2023-02-16,Agartala,278
2023-02-17,Agartala,284
2023-02-18,Agartala,308
2023-02-19,Agartala,326
2023-02-20,Agartala,309
2023-02-21,Agartala,316
2023-02-22,Agartala,183
2023-02-23,Agartala,157
2023-02-24,Agartala,166
2023-02-25,Agartala,165
2023-02-26,Agartala,188
2023-02-27,Agartala,214
2023-02-28,Agartala,206
2023-03-01,Agartala,214
2023-03-02,Agartala,250
2023-03-03,Agartala,250
2023-03-04,Agartala,236
2023-03-05,Agartala,253
2023-03-06,Agartala,240
2023-03-07,Agartala,300
2023-03-08,Agartala,260
2023-03-09,Agartala,299
2023-03-10,Agartala,312
2023-03-11,Agartala,315
2023-03-12,Agartala,327
2023-03-13,Agartala,316
2023-03-14,Agartala,255
2023-03-15,Agartala,233
2023-03-16,Agartala,172
2023-03-17,Agartala,114
2023-03-18,Agartala,247
2023-03-19,Agartala,210
2023-03-20,Agartala,72
2023-03-21,Agartala,44
2023-03-22,Agartala,64
2023-03-23,Agartala,72
2023-03-24,Agartala,84
2023-03-25,Agartala,158
2023-03-26,Agartala,184
2023-03-27,Agartala,90
2023-03-28,Agartala,109
2023-03-29,Agartala,99
2023-03-30,Agartala,91
2023-03-31,Agartala,67
2023-04-01,Agartala,68
2023-04-02,Agartala,59
2023-04-03,Agartala,58
2023-04-04,Agartala,90
2023-04-05,Agartala,58
2023-04-06,Agartala,121
2023-04-07,Agartala,250
2023-04-08,Agartala,249
2023-04-09,Agartala,266
2023-04-10,Agartala,295
2023-04-11,Agartala,298
2023-04-12,Agartala,283
2023-04-13,Agartala,274
2023-04-14,Agartala,237
2023-04-15,Agartala,233
2023-04-16,Agartala,272
2023-04-17,Agartala,238
2023-04-18,Agartala,130
2023-04-19,Agartala,280
2023-04-20,Agartala,199
2023-04-21,Agartala,175
2023-04-22,Agartala,123
2023-04-23,Agartala,195
2023-04-24,Agartala,111
2023-04-25,Agartala,238
2023-04-26,Agartala,246
2023-04-27,Agartala,229
2023-04-28,Agartala,137
2023-04-29,Agartala,210
2023-04-30,Agartala,128
2023-05-01,Agartala,166
2023-05-02,Agartala,150
2023-05-03,Agartala,233
2023-05-04,Agartala,85
2023-05-05,Agartala,90
2023-05-06,Agartala,101
2023-05-07,Agartala,192
2023-05-08,Agartala,210
2023-05-09,Agartala,229
2023-05-10,Agartala,212
2023-05-11,Agartala,128
2023-05-12,Agartala,184
2023-05-13,Agartala,163
2023-05-14,Agartala,137
2023-05-15,Agartala,73
2023-05-16,Agartala,82
2023-05-17,Agartala,83
2023-05-18,Agartala,81
2023-05-19,Agartala,82
2023-05-20,Agartala,86
2023-05-21,Agartala,89
2023-05-22,Agartala,86
2023-05-23,Agartala,87
2023-05-24,Agartala,82
2023-05-25,Agartala,91
2023-05-26,Agartala,85
2023-05-27,Agartala,87
2023-05-28,Agartala,85
2023-05-29,Agartala,151
2023-05-30,Agartala,140
2023-05-31,Agartala,203
2023-06-01,Agartala,184
2023-06-02,Agartala,161
2023-06-03,Agartala,174
2023-06-04,Agartala,164
2023-06-05,Agartala,161
2023-06-06,Agartala,181
2023-06-07,Agartala,152
2023-06-08,Agartala,226
2023-06-09,Agartala,94
2023-06-10,Agartala,99
2023-06-12,Agartala,90
2023-06-13,Agartala,94
2023-06-14,Agartala,105
2023-06-15,Agartala,98
2023-06-16,Agartala,88
2023-06-17,Agartala,86
2023-06-18,Agartala,77
2023-06-19,Agartala,79
2023-06-20,Agartala,66
2023-06-21,Agartala,86
2023-06-22,Agartala,80
2023-06-23,Agartala,51
2023-06-24,Agartala,49
2023-06-25,Agartala,47
2023-06-26,Agartala,48
2023-06-27,Agartala,43
2023-06-28,Agartala,63
2023-06-29,Agartala,74
2023-06-30,Agartala,73
2023-07-01,Agartala,61
2023-07-02,Agartala,48
2023-07-03,Agartala,56
2023-07-04,Agartala,54
2023-07-05,Agartala,42
2023-07-06,Agartala,38
2023-07-07,Agartala,35
2023-07-08,Agartala,35
2023-07-09,Agartala,43
2023-07-10,Agartala,48
2023-07-11,Agartala,47
2023-07-12,Agartala,43
2023-07-13,Agartala,41
2023-07-15,Agartala,56
2023-07-16,Agartala,64
2023-07-17,Agartala,65
2023-07-18,Agartala,68
2023-07-20,Agartala,69
2023-07-22,Agartala,57
2023-07-23,Agartala,71
2023-07-24,Agartala,85
2023-07-25,Agartala,69
2023-07-26,Agartala,61
2023-07-27,Agartala,60
2023-07-29,Agartala,63
2023-07-30,Agartala,82
2023-07-31,Agartala,72
2023-08-01,Agartala,73
2023-08-02,Agartala,56
2023-08-03,Agartala,56
2023-08-04,Agartala,63
2023-08-05,Agartala,81
2023-08-09,Agartala,67
2023-08-10,Agartala,80
2023-08-11,Agartala,115
2023-08-12,Agartala,142
2023-08-13,Agartala,107
2023-08-14,Agartala,82
2023-08-15,Agartala,148
2023-08-17,Agartala,129
2023-08-18,Agartala,72
2023-08-19,Agartala,68
2023-08-20,Agartala,80
2023-08-21,Agartala,110
2023-08-22,Agartala,106
2023-08-24,Agartala,73
2023-08-27,Agartala,106
2023-08-28,Agartala,116
2023-08-29,Agartala,166
2023-08-30,Agartala,227
2023-08-31,Agartala,105
2023-09-01,Agartala,156
2023-09-02,Agartala,138
2023-09-05,Agartala,104
2023-09-06,Agartala,76
2023-09-07,Agartala,46
2023-09-08,Agartala,47
2023-09-09,Agartala,74
2023-09-10,Agartala,117
2023-09-11,Agartala,116
2023-09-12,Agartala,60
2023-09-14,Agartala,44
2023-09-15,Agartala,61
2023-09-16,Agartala,85
2023-09-17,Agartala,102
2023-09-18,Agartala,68
2023-09-19,Agartala,54
2023-09-20,Agartala,60
2023-09-21,Agartala,60
2023-09-22,Agartala,68
2023-09-23,Agartala,75
2023-09-26,Agartala,81
2023-09-27,Agartala,129
2023-09-28,Agartala,157
2023-09-29,Agartala,130
2023-09-30,Agartala,64
2023-10-01,Agartala,65
2023-10-02,Agartala,67
2023-10-03,Agartala,67
2023-10-04,Agartala,64
2023-10-05,Agartala,63
2023-10-06,Agartala,90
2023-10-07,Agartala,110
2023-10-08,Agartala,143
2023-10-09,Agartala,128
2023-10-10,Agartala,163
2023-10-11,Agartala,233
2023-10-12,Agartala,246
2023-10-13,Agartala,147
2023-10-14,Agartala,209
2023-10-15,Agartala,211
2023-10-16,Agartala,225
2023-10-17,Agartala,208
2023-10-18,Agartala,196
2023-10-19,Agartala,209
2023-10-20,Agartala,246
2023-10-21,Agartala,166
2023-10-22,Agartala,156
2023-10-23,Agartala,122
2023-10-24,Agartala,79
2023-10-25,Agartala,68
2023-10-26,Agartala,72
2023-10-27,Agartala,114
2023-10-28,Agartala,159
2023-10-29,Agartala,288
2023-10-30,Agartala,166
2023-10-31,Agartala,201
2023-11-01,Agartala,144
2023-11-02,Agartala,145
2023-11-03,Agartala,232
2023-11-04,Agartala,232
2023-11-06,Agartala,224
2023-11-07,Agartala,255
2023-11-08,Agartala,263
2023-11-09,Agartala,270
2023-11-10,Agartala,141
2023-11-11,Agartala,186
2023-11-12,Agartala,174
2023-11-13,Agartala,256
2023-11-14,Agartala,147
2023-11-15,Agartala,152
2023-11-16,Agartala,134
2023-11-19,Agartala,83
2023-11-20,Agartala,107
2023-11-21,Agartala,127
2023-11-22,Agartala,138
2023-11-23,Agartala,214
2023-11-24,Agartala,188
2023-11-25,Agartala,104
2023-11-26,Agartala,157
2023-11-27,Agartala,172
2023-11-28,Agartala,128
2023-11-29,Agartala,172
2023-11-30,Agartala,169
2023-12-01,Agartala,152
2023-12-02,Agartala,200
2023-12-03,Agartala,189
2023-12-04,Agartala,206
2023-12-05,Agartala,189
2023-12-06,Agartala,176
2023-12-07,Agartala,114
2023-12-08,Agartala,65
2023-12-09,Agartala,105
2023-12-10,Agartala,235
2023-12-11,Agartala,274
2023-12-12,Agartala,198
2023-12-13,Agartala,219
2023-12-15,Agartala,293
2023-12-17,Agartala,239
2023-12-18,Agartala,183
2023-12-19,Agartala,202
2023-12-20,Agartala,200
2023-12-21,Agartala,182
2023-12-22,Agartala,109
2023-12-23,Agartala,125
2023-12-24,Agartala,228
2023-12-25,Agartala,277
2023-12-26,Agartala,242
2023-12-27,Agartala,173
2023-12-28,Agartala,278
2023-12-29,Agartala,261
2023-12-30,Agartala,265
2023-12-31,Agartala,179
2024-01-01,Agartala,193
2024-01-02,Agartala,183
2024-01-03,Agartala,174
2024-01-04,Agartala,164
2024-01-05,Agartala,172
2024-01-06,Agartala,160
2024-01-07,Agartala,268
2024-01-08,Agartala,280
2024-01-09,Agartala,255
2024-01-10,Agartala,289
2024-01-11,Agartala,291
2024-01-12,Agartala,309
2024-01-13,Agartala,257
2024-01-14,Agartala,220
2024-01-15,Agartala,255
2024-01-16,Agartala,228
2024-01-17,Agartala,307
2024-01-18,Agartala,218
2024-01-19,Agartala,247
2024-01-20,Agartala,303
2024-01-21,Agartala,298
2024-01-22,Agartala,330
2024-01-23,Agartala,334
2024-01-24,Agartala,288
2024-01-25,Agartala,299
2024-01-26,Agartala,247
2024-01-27,Agartala,307
2024-01-28,Agartala,299
2024-01-29,Agartala,303
2024-01-30,Agartala,290
2024-01-31,Agartala,323
2024-02-01,Agartala,259
2024-02-02,Agartala,250
2024-02-04,Agartala,237
2024-02-05,Agartala,209
2024-02-06,Agartala,267
2024-02-07,Agartala,292
2024-02-08,Agartala,226
2024-02-09,Agartala,272
2024-02-10,Agartala,256
2024-02-13,Agartala,277
2024-02-14,Agartala,249
2024-02-15,Agartala,253
2024-02-16,Agartala,281
2024-02-17,Agartala,285
2024-02-18,Agartala,264
2024-02-19,Agartala,264
2024-02-20,Agartala,278
2024-02-21,Agartala,182
2024-02-22,Agartala,135
2024-02-23,Agartala,101
2024-02-24,Agartala,127
2024-02-25,Agartala,120
2024-02-27,Agartala,202
2024-02-28,Agartala,234
2024-02-29,Agartala,284
2024-03-01,Agartala,240
2024-03-02,Agartala,207
2024-03-03,Agartala,242
2024-03-04,Agartala,300
2024-03-05,Agartala,159
2024-03-06,Agartala,202
2024-03-07,Agartala,199
2024-03-08,Agartala,234
2024-03-09,Agartala,226
2024-03-10,Agartala,224
2024-03-12,Agartala,250
2024-03-14,Agartala,163
2024-03-15,Agartala,106
2024-03-16,Agartala,231
2024-03-17,Agartala,157
2024-03-18,Agartala,212
2024-03-19,Agartala,203
2024-03-20,Agartala,222
2024-03-21,Agartala,145
2024-03-22,Agartala,85
2024-03-23,Agartala,113
2024-03-26,Agartala,90
2024-03-27,Agartala,100
2024-03-28,Agartala,108
2024-03-29,Agartala,89
2024-03-30,Agartala,95
2024-03-31,Agartala,78
2024-04-02,Agartala,94
2024-04-03,Agartala,97
2024-04-04,Agartala,107
2024-04-05,Agartala,101
2024-04-06,Agartala,99
2024-04-07,Agartala,113
2024-04-08,Agartala,145
2024-04-09,Agartala,211
2024-04-10,Agartala,231
2024-04-11,Agartala,191
2024-04-12,Agartala,152
2024-04-13,Agartala,175
2024-04-14,Agartala,244
2024-04-15,Agartala,242
2024-04-16,Agartala,215
2024-04-17,Agartala,106
2024-04-18,Agartala,95
2024-04-19,Agartala,96
2024-04-20,Agartala,105
2024-04-21,Agartala,93
2024-04-22,Agartala,103
2024-04-23,Agartala,110
2024-04-24,Agartala,115
2024-04-25,Agartala,106
2024-04-26,Agartala,106
2024-04-27,Agartala,98
2024-04-28,Agartala,106
2024-04-29,Agartala,114
2024-04-30,Agartala,112
2024-05-01,Agartala,99
2024-05-02,Agartala,92
2024-05-03,Agartala,89
2024-05-04,Agartala,90
2024-05-05,Agartala,93
2024-05-07,Agartala,75
2024-05-08,Agartala,122
2024-05-09,Agartala,133
2024-05-10,Agartala,112
2024-05-11,Agartala,86
2024-05-12,Agartala,79
2024-05-13,Agartala,88
2024-05-14,Agartala,112
2024-05-15,Agartala,120
2024-05-16,Agartala,132
2024-05-17,Agartala,107
2024-05-18,Agartala,79
2024-05-19,Agartala,79
2024-05-21,Agartala,100
2024-05-22,Agartala,84
2024-05-23,Agartala,93
2024-05-25,Agartala,75
2024-05-26,Agartala,50
2024-05-27,Agartala,41
2024-05-31,Agartala,72
2024-06-01,Agartala,77
2024-06-02,Agartala,71
2024-06-03,Agartala,75
2024-06-04,Agartala,59
2024-06-05,Agartala,72
2024-06-06,Agartala,78
2024-06-07,Agartala,80
2024-06-08,Agartala,71
2024-06-09,Agartala,83
2024-06-10,Agartala,72
2024-06-11,Agartala,86
2024-06-12,Agartala,89
2024-06-13,Agartala,68
2024-06-14,Agartala,44
2024-06-15,Agartala,75
2024-06-16,Agartala,74
2024-06-17,Agartala,67
2024-06-18,Agartala,66
2024-06-19,Agartala,41
2024-06-20,Agartala,50
2024-06-21,Agartala,57
2024-06-22,Agartala,58
2024-06-23,Agartala,63
2024-06-24,Agartala,61
2024-06-25,Agartala,64
2024-06-27,Agartala,47
2024-06-28,Agartala,48
2024-06-29,Agartala,44
2024-06-30,Agartala,46
2024-07-01,Agartala,44
2024-07-02,Agartala,47
2024-07-04,Agartala,46
2024-07-06,Agartala,54
2024-07-07,Agartala,54
2024-07-08,Agartala,60
2024-07-09,Agartala,48
2024-07-10,Agartala,49
2024-07-11,Agartala,50
2024-07-12,Agartala,46
2024-07-13,Agartala,49
2024-07-14,Agartala,51
2024-07-15,Agartala,51
2024-07-16,Agartala,47
2024-07-17,Agartala,50
2024-07-18,Agartala,59
2024-07-19,Agartala,49
2024-07-20,Agartala,48
2024-07-21,Agartala,48
2024-07-22,Agartala,46
2024-07-23,Agartala,45
2024-07-24,Agartala,45
2024-07-25,Agartala,45
2024-07-26,Agartala,48
2024-07-27,Agartala,48
2024-07-28,Agartala,50
2024-07-29,Agartala,48
2024-07-30,Agartala,50
2024-07-31,Agartala,62
2024-08-01,Agartala,46
2024-08-03,Agartala,45
2024-08-04,Agartala,45
2024-08-05,Agartala,50
2024-08-07,Agartala,58
2024-08-09,Agartala,41
2024-08-10,Agartala,42
2024-08-11,Agartala,48
2024-08-14,Agartala,54
2024-08-15,Agartala,45
2024-08-16,Agartala,44
2024-08-17,Agartala,35
2024-08-18,Agartala,33
2024-08-19,Agartala,29
2024-08-20,Agartala,36
2024-08-24,Agartala,31
2024-08-25,Agartala,32
2024-08-26,Agartala,28
2024-08-27,Agartala,33
2024-08-28,Agartala,66
2024-08-29,Agartala,82
2024-08-30,Agartala,72
2024-08-31,Agartala,312
2024-09-04,Agartala,67
2024-09-05,Agartala,61
2024-09-06,Agartala,82
2024-09-07,Agartala,62
2024-09-08,Agartala,57
2024-09-09,Agartala,57
2024-09-10,Agartala,72
2024-09-11,Agartala,64
2024-09-12,Agartala,57
2024-09-13,Agartala,60
2024-09-17,Agartala,48
2024-09-19,Agartala,81
2024-09-21,Agartala,92
2024-09-26,Agartala,50
2024-09-27,Agartala,57
2024-09-28,Agartala,74
2024-09-29,Agartala,66
2024-10-01,Agartala,96
2024-10-02,Agartala,106
2024-10-08,Agartala,77
2024-10-09,Agartala,74
2024-10-10,Agartala,71
2024-10-11,Agartala,78
2024-10-12,Agartala,71
2024-10-18,Agartala,138
2024-10-19,Agartala,102
2024-10-20,Agartala,89
2024-10-22,Agartala,120
2024-10-23,Agartala,87
2024-10-25,Agartala,59
2024-10-26,Agartala,92
2024-10-27,Agartala,99
2024-10-28,Agartala,108
2024-10-29,Agartala,107
2024-10-30,Agartala,114
2024-10-31,Agartala,140
2024-11-01,Agartala,151
2024-11-02,Agartala,177
2024-11-03,Agartala,146
2024-11-04,Agartala,151
2024-11-05,Agartala,116
2024-11-06,Agartala,60
2024-11-07,Agartala,102
2024-11-08,Agartala,91
2024-11-09,Agartala,81
2024-11-10,Agartala,82
2024-11-11,Agartala,98
2024-11-12,Agartala,105
2024-11-13,Agartala,134
2024-11-14,Agartala,113
2024-11-15,Agartala,124
2024-11-16,Agartala,155
2024-11-17,Agartala,244
2024-11-18,Agartala,205
2024-11-19,Agartala,102
2024-11-20,Agartala,148
2024-11-21,Agartala,118
2024-11-22,Agartala,163
2024-11-23,Agartala,166
2024-11-24,Agartala,198
2024-11-25,Agartala,227
2024-11-26,Agartala,244
2024-11-27,Agartala,182
2024-11-28,Agartala,156
2024-11-29,Agartala,176
2024-11-30,Agartala,183
2024-12-01,Agartala,99
2024-12-02,Agartala,170
2024-12-03,Agartala,211
2024-12-04,Agartala,216
2024-12-05,Agartala,266
2024-12-06,Agartala,304
2024-12-07,Agartala,243
2024-12-08,Agartala,278
2024-12-09,Agartala,204
2024-12-10,Agartala,278
2024-12-11,Agartala,280
2024-12-12,Agartala,278
2024-12-13,Agartala,245
2024-12-14,Agartala,178
2024-12-15,Agartala,222
2024-12-16,Agartala,243
2024-12-17,Agartala,244
2024-12-18,Agartala,268
2024-12-19,Agartala,313
2024-12-20,Agartala,304
2024-12-21,Agartala,313
2024-12-22,Agartala,237
2024-12-23,Agartala,186
2024-12-24,Agartala,191
2024-12-25,Agartala,216
2024-12-26,Agartala,233
2024-12-27,Agartala,216
2024-12-28,Agartala,211
2024-12-29,Agartala,229
2024-12-30,Agartala,243
2024-12-31,Agartala,227
2025-01-02,Agartala,171
2025-01-03,Agartala,126
2025-01-04,Agartala,111
2025-01-05,Agartala,207
2025-01-06,Agartala,156
2025-01-07,Agartala,162
2025-01-08,Agartala,189
2025-01-09,Agartala,201
2025-01-10,Agartala,272
2025-01-11,Agartala,213
2025-01-12,Agartala,198
2025-01-13,Agartala,135
2025-01-14,Agartala,279
2025-01-15,Agartala,204
2025-01-16,Agartala,169
2025-01-17,Agartala,160
2025-01-18,Agartala,192
2025-01-19,Agartala,185
2025-01-20,Agartala,197
2025-01-21,Agartala,243
2025-01-22,Agartala,212
2025-01-23,Agartala,91
2025-01-24,Agartala,87
2025-01-25,Agartala,82
2025-01-26,Agartala,150
2025-01-27,Agartala,86
2025-01-29,Agartala,184
2025-01-30,Agartala,78
2025-01-31,Agartala,55
2025-02-01,Agartala,62
2025-02-14,Agartala,172
2025-02-15,Agartala,169
2025-02-16,Agartala,100
2025-02-17,Agartala,87
2025-02-18,Agartala,82
2025-02-19,Agartala,67
2025-02-20,Agartala,73
2025-02-21,Agartala,157
2025-02-22,Agartala,150
2025-02-23,Agartala,59
2025-02-24,Agartala,58
2025-02-25,Agartala,96
2025-02-26,Agartala,108
2025-02-27,Agartala,90
2025-02-28,Agartala,66
2025-03-01,Agartala,68
2025-03-02,Agartala,47
2025-03-05,Agartala,91
2025-03-06,Agartala,150
2025-03-07,Agartala,202
2025-03-08,Agartala,67
2025-03-09,Agartala,69
2025-03-10,Agartala,175
2025-03-11,Agartala,66
2025-03-12,Agartala,69
2025-03-13,Agartala,37
2025-03-14,Agartala,30
2025-03-15,Agartala,26
2025-03-16,Agartala,35
2025-03-17,Agartala,31
2025-03-18,Agartala,58
2025-03-19,Agartala,51
2025-03-20,Agartala,37
2025-03-21,Agartala,50
2025-03-22,Agartala,46
2025-03-23,Agartala,72
2025-03-24,Agartala,156
